heure_depart,duree_vol,nb_vols_jour,retards_7j_moy,compagnie,meteo_depart,retard
0.0,143.7,154.0,16.0,FlyY,Moyenne,0
1.9,66.2,104.0,14.0,SkyZ,Bonne,0
2.3,132.1,99.0,26.0,SkyZ,Bonne,0
2.3,134.6,150.0,19.0,AirX,Moyenne,0
4.9,77.9,155.0,17.0,SkyZ,Bonne,0
3.1,110.7,97.0,9.0,FlyY,Moyenne,0
1.5,90.4,157.0,11.0,SkyZ,Moyenne,0
4.9,134.8,154.0,6.0,SkyZ,Bonne,0
6.4,101.9,73.0,11.0,FlyY,Mauvaise,0
7.0,113.5,104.0,9.0,AirX,Bonne,0
13.6,166.4,187.0,11.0,AirX,Mauvaise,0
2.6,75.7,93.0,25.0,FlyY,Moyenne,0
18.7,170.4,92.0,37.0,SkyZ,Moyenne,1
0.0,93.3,113.0,19.0,SkyZ,Bonne,0
6.4,165.4,127.0,11.0,AirX,Moyenne,0
5.4,150.0,157.0,21.0,FlyY,Bonne,0
8.5,116.3,98.0,11.0,FlyY,Bonne,0
12.3,77.8,133.0,9.0,AirX,Bonne,0
7.9,116.5,165.0,8.0,AirX,Bonne,0
14.4,126.7,105.0,2.0,FlyY,Bonne,0
17.0,210.1,108.0,32.0,SkyZ,Moyenne,1
20.0,241.1,181.0,38.0,FlyY,Moyenne,1
8.6,102.9,121.0,23.0,FlyY,Bonne,0
4.6,48.3,103.0,22.0,FlyY,Moyenne,0
8.7,83.8,107.0,18.0,FlyY,Bonne,0
4.7,101.7,112.0,13.0,SkyZ,Moyenne,0
7.7,137.7,112.0,18.0,SkyZ,Moyenne,0
4.6,130.9,124.0,0.0,AirX,Bonne,0
21.9,238.3,98.0,31.0,FlyY,Moyenne,1
9.3,88.5,156.0,28.0,FlyY,Bonne,0
2.5,77.6,118.0,11.0,AirX,Bonne,0
23.0,149.0,91.0,25.0,AirX,Moyenne,1
10.0,120.1,140.0,24.0,FlyY,Bonne,0
11.8,167.2,200.0,34.0,FlyY,Bonne,1
6.9,191.7,126.0,14.0,AirX,Bonne,0
5.0,139.0,116.0,4.0,AirX,Moyenne,0
18.6,227.1,143.0,25.0,SkyZ,Bonne,1
15.7,77.3,59.0,21.0,AirX,Bonne,0
5.7,126.5,105.0,17.0,AirX,Moyenne,0
10.4,77.5,80.0,0.0,FlyY,Moyenne,0
10.8,146.2,114.0,22.0,SkyZ,Bonne,0
10.7,107.5,136.0,38.0,AirX,Bonne,0
8.6,127.1,99.0,16.0,FlyY,Bonne,0
22.4,197.9,184.0,28.0,FlyY,Bonne,1
8.1,108.1,92.0,21.0,AirX,Bonne,0
19.7,151.8,96.0,29.0,FlyY,Moyenne,1
7.5,84.8,112.0,13.0,FlyY,Moyenne,0
13.7,62.7,154.0,13.0,FlyY,Moyenne,0
7.3,114.6,120.0,16.0,FlyY,Bonne,0
6.5,126.6,152.0,7.0,FlyY,Moyenne,0
4.6,115.2,96.0,7.0,AirX,Bonne,0
12.4,146.6,113.0,17.0,SkyZ,Mauvaise,0
12.4,99.7,82.0,10.0,FlyY,Moyenne,0
13.5,108.8,108.0,0.0,AirX,Bonne,0
2.8,123.6,96.0,28.0,AirX,Moyenne,0
4.1,169.7,108.0,15.0,FlyY,Bonne,0
21.8,186.2,149.0,31.0,FlyY,Moyenne,1
9.5,169.2,126.0,17.0,AirX,Bonne,0
0.0,97.0,114.0,0.0,FlyY,Bonne,0
9.1,105.7,96.0,16.0,AirX,Moyenne,0
8.9,154.4,112.0,7.0,FlyY,Bonne,0
21.0,151.5,96.0,28.0,AirX,Moyenne,1
3.1,80.1,113.0,14.0,FlyY,Bonne,0
8.1,104.7,90.0,10.0,FlyY,Moyenne,0
8.4,80.7,173.0,14.0,SkyZ,Moyenne,0
0.0,105.1,148.0,2.0,AirX,Bonne,0
9.3,70.6,133.0,10.0,FlyY,Bonne,0
7.4,101.2,130.0,0.0,AirX,Bonne,0
2.5,115.2,128.0,22.0,SkyZ,Bonne,0
18.1,202.3,200.0,25.0,SkyZ,Bonne,1
0.0,84.7,105.0,35.0,AirX,Moyenne,0
-15.0,196.8,160.0,30.0,FlyY,Mauvaise,1
12.4,108.1,81.0,8.0,SkyZ,Moyenne,0
12.8,117.7,60.0,22.0,FlyY,Moyenne,0
20.1,111.3,151.0,1.0,FlyY,Moyenne,1
11.3,126.3,121.0,6.0,AirX,Moyenne,0
11.1,97.3,108.0,0.0,AirX,Bonne,0
10.0,111.2,113.0,19.0,SkyZ,Mauvaise,0
0.0,148.2,88.0,2.0,SkyZ,Moyenne,0
0.0,117.0,97.0,7.0,FlyY,Bonne,0
8.5,128.7,116.0,21.0,FlyY,Bonne,0
3.9,126.1,101.0,16.0,FlyY,Bonne,0
9.4,115.8,151.0,11.0,FlyY,Bonne,0
11.8,74.2,83.0,16.0,SkyZ,Moyenne,0
3.8,169.5,93.0,10.0,SkyZ,Bonne,0
4.5,142.0,109.0,11.0,FlyY,Bonne,0
0.0,123.1,118.0,26.0,FlyY,Mauvaise,0
7.6,109.9,114.0,14.0,AirX,Bonne,0
2.7,148.1,97.0,11.0,AirX,Bonne,0
9.7,85.4,138.0,17.0,SkyZ,Bonne,0
4.4,114.0,62.0,22.0,FlyY,Moyenne,0
14.8,150.8,95.0,15.0,AirX,Mauvaise,0
0.7,120.5,75.0,6.0,AirX,Bonne,0
8.6,141.5,122.0,12.0,FlyY,Moyenne,0
20.0,221.4,166.0,49.0,AirX,Bonne,1
16.4,181.3,126.0,32.0,AirX,Mauvaise,1
4.8,132.1,92.0,11.0,FlyY,Moyenne,0
10.9,261.7,160.0,22.0,FlyY,Moyenne,1
7.7,107.8,96.0,20.0,FlyY,Bonne,0
9.1,144.6,125.0,11.0,AirX,Mauvaise,0
13.9,192.8,144.0,38.0,FlyY,Moyenne,1
8.9,152.2,89.0,18.0,AirX,Bonne,0
20.5,223.3,134.0,26.0,FlyY,Moyenne,1
14.8,80.1,157.0,36.0,FlyY,Bonne,1
12.2,177.3,158.0,8.0,FlyY,Moyenne,1
12.0,148.4,88.0,6.0,SkyZ,Bonne,0
15.5,220.1,159.0,29.0,FlyY,Moyenne,1
7.9,103.2,98.0,21.0,FlyY,Bonne,0
5.9,129.3,68.0,13.0,AirX,Bonne,0
3.5,123.0,129.0,27.0,FlyY,Bonne,0
5.0,123.7,96.0,16.0,AirX,Bonne,0
2.4,80.0,68.0,20.0,AirX,Bonne,0
14.4,88.3,134.0,8.0,SkyZ,Bonne,0
10.4,132.5,118.0,18.0,FlyY,Bonne,0
12.1,141.2,144.0,20.0,SkyZ,Bonne,0
1.4,151.6,79.0,17.0,FlyY,Bonne,0
19.7,214.6,150.0,25.0,FlyY,Moyenne,1
10.5,120.0,127.0,7.0,FlyY,Bonne,0
5.2,164.0,131.0,11.0,FlyY,Mauvaise,0
3.2,79.4,67.0,18.0,FlyY,Moyenne,0
8.5,128.8,93.0,15.0,AirX,Moyenne,0
2.3,151.7,97.0,8.0,FlyY,Bonne,0
3.3,85.7,131.0,26.0,AirX,Moyenne,0
11.7,154.3,73.0,21.0,AirX,Bonne,0
4.8,156.5,123.0,24.0,FlyY,Bonne,0
10.0,100.9,122.0,13.0,AirX,Bonne,0
10.1,68.3,57.0,24.0,SkyZ,Moyenne,0
8.5,137.5,112.0,15.0,SkyZ,Bonne,0
6.1,91.2,141.0,27.0,SkyZ,Bonne,0
16.4,206.2,113.0,47.0,FlyY,Mauvaise,1
18.7,170.2,165.0,23.0,AirX,Moyenne,1
12.8,120.4,97.0,13.0,SkyZ,Bonne,0
4.7,112.4,95.0,15.0,FlyY,Bonne,0
4.7,144.9,121.0,7.0,SkyZ,Moyenne,0
10.1,173.3,101.0,9.0,SkyZ,Bonne,0
4.5,125.9,131.0,0.0,SkyZ,Bonne,0
7.6,161.2,106.0,22.0,AirX,Bonne,0
22.9,232.5,112.0,27.0,FlyY,Mauvaise,1
19.5,145.0,190.0,17.0,SkyZ,Moyenne,1
12.8,104.6,117.0,13.0,FlyY,Moyenne,0
9.5,246.2,129.0,47.0,AirX,Moyenne,1
8.4,157.8,95.0,9.0,FlyY,Bonne,0
8.7,138.0,103.0,10.0,SkyZ,Bonne,0
9.1,83.4,54.0,0.0,FlyY,Bonne,0
7.5,172.5,103.0,13.0,FlyY,Bonne,0
13.1,170.8,141.0,36.0,AirX,Bonne,1
9.5,87.8,119.0,9.0,FlyY,Moyenne,0
12.9,111.5,98.0,11.0,SkyZ,Moyenne,0
6.4,136.8,50.0,5.0,AirX,Moyenne,0
8.9,88.3,140.0,7.0,FlyY,Bonne,0
11.4,84.8,91.0,22.0,SkyZ,Moyenne,0
15.6,142.0,99.0,25.0,FlyY,Moyenne,1
8.0,111.2,123.0,18.0,FlyY,Bonne,0
7.5,105.9,85.0,3.0,FlyY,Moyenne,0
9.3,116.3,133.0,14.0,FlyY,Bonne,0
4.6,137.8,127.0,18.0,AirX,Bonne,0
17.9,185.1,109.0,49.0,SkyZ,Bonne,1
20.2,184.5,185.0,35.0,SkyZ,Bonne,1
5.8,96.3,115.0,15.0,SkyZ,Bonne,0
2.2,118.5,84.0,19.0,SkyZ,Moyenne,0
20.9,180.9,169.0,32.0,FlyY,Mauvaise,1
19.6,199.8,150.0,34.0,FlyY,Moyenne,1
17.1,260.0,200.0,28.0,FlyY,Moyenne,1
6.1,107.8,99.0,17.0,FlyY,Bonne,0
12.1,139.8,77.0,21.0,FlyY,Moyenne,0
3.0,127.5,80.0,13.0,FlyY,Bonne,0
20.4,234.4,151.0,30.0,SkyZ,Bonne,1
0.0,143.5,114.0,25.0,FlyY,Bonne,0
0.0,109.8,150.0,14.0,FlyY,Bonne,0
9.9,100.5,52.0,14.0,AirX,Bonne,0
5.4,93.5,99.0,0.0,FlyY,Bonne,0
19.5,102.0,78.0,37.0,AirX,Bonne,1
17.8,145.6,122.0,46.0,FlyY,Mauvaise,1
12.7,107.4,138.0,0.0,FlyY,Bonne,0
15.6,165.8,165.0,27.0,AirX,Bonne,1
9.5,111.6,110.0,14.0,FlyY,Bonne,0
18.0,207.2,143.0,13.0,AirX,Moyenne,1
10.5,84.4,133.0,20.0,AirX,Bonne,0
7.4,95.0,72.0,17.0,SkyZ,Bonne,0
20.1,174.3,191.0,35.0,FlyY,Bonne,1
4.9,128.9,127.0,15.0,AirX,Bonne,0
9.1,124.5,150.0,34.0,FlyY,Bonne,0
20.8,169.0,159.0,20.0,FlyY,Bonne,1
6.7,69.5,121.0,15.0,AirX,Bonne,0
16.4,181.8,194.0,56.0,FlyY,Bonne,1
4.6,89.6,75.0,18.0,AirX,Bonne,0
20.9,197.8,122.0,42.0,AirX,Moyenne,1
3.6,134.3,134.0,11.0,FlyY,Bonne,0
13.4,99.2,123.0,7.0,FlyY,Bonne,0
2.7,119.7,64.0,6.0,FlyY,Bonne,0
19.8,124.9,99.0,34.0,FlyY,Mauvaise,1
5.0,85.4,123.0,8.0,SkyZ,Bonne,0
12.3,123.4,141.0,12.0,FlyY,Bonne,0
12.4,158.8,165.0,17.0,FlyY,Moyenne,0
12.7,139.6,141.0,14.0,FlyY,Bonne,0
11.4,54.3,161.0,24.0,AirX,Bonne,0
9.2,114.5,121.0,18.0,FlyY,Bonne,0
20.9,124.0,171.0,28.0,AirX,Moyenne,1
4.1,82.2,139.0,23.0,AirX,Bonne,0
18.7,230.1,178.0,40.0,SkyZ,Moyenne,1
1.4,134.4,113.0,6.0,SkyZ,Mauvaise,0
6.5,129.3,95.0,13.0,FlyY,Bonne,0
11.5,98.2,50.0,11.0,FlyY,Bonne,0
1.1,78.8,156.0,16.0,AirX,Bonne,0
0.0,92.2,86.0,16.0,AirX,Bonne,0
6.1,122.1,121.0,34.0,AirX,Bonne,0
20.0,144.9,66.0,33.0,FlyY,Mauvaise,1
10.2,94.6,102.0,11.0,FlyY,Moyenne,0
5.7,160.3,154.0,13.0,FlyY,Moyenne,0
22.8,209.3,150.0,28.0,AirX,Bonne,1
5.0,121.3,130.0,20.0,SkyZ,Moyenne,0
6.8,97.9,109.0,2.0,FlyY,Mauvaise,0
14.3,180.6,106.0,35.0,FlyY,Moyenne,1
9.9,136.2,136.0,34.0,FlyY,Bonne,0
4.3,93.8,144.0,8.0,FlyY,Moyenne,0
10.3,152.1,53.0,15.0,AirX,Bonne,0
6.3,113.4,124.0,12.0,FlyY,Bonne,0
9.8,120.6,111.0,12.0,FlyY,Bonne,0
21.1,103.9,106.0,31.0,AirX,Moyenne,1
6.9,128.7,80.0,13.0,AirX,Moyenne,0
0.8,166.3,118.0,29.0,AirX,Bonne,0
18.3,137.2,183.0,53.0,AirX,Bonne,1
19.5,228.2,156.0,36.0,SkyZ,Bonne,1
1.4,171.1,112.0,12.0,FlyY,Bonne,0
2.5,144.2,97.0,15.0,FlyY,Bonne,0
11.1,135.1,122.0,16.0,AirX,Bonne,0
7.8,122.3,84.0,17.0,FlyY,Moyenne,0
6.8,77.9,111.0,19.0,FlyY,Bonne,0
4.6,98.0,65.0,12.0,AirX,Bonne,0
20.1,152.7,140.0,30.0,FlyY,Bonne,1
7.4,109.9,119.0,19.0,FlyY,Mauvaise,0
0.7,121.5,129.0,21.0,FlyY,Moyenne,0
4.4,107.3,147.0,17.0,FlyY,Moyenne,0
-15.0,113.7,137.0,18.0,AirX,Bonne,0
15.4,178.4,89.0,31.0,FlyY,Bonne,1
6.3,86.1,123.0,0.0,FlyY,Bonne,0
7.1,93.6,157.0,7.0,FlyY,Moyenne,0
5.3,90.1,131.0,29.0,SkyZ,Mauvaise,0
0.0,133.8,122.0,9.0,FlyY,Moyenne,0
5.5,126.4,87.0,29.0,AirX,Moyenne,0
17.9,170.9,200.0,21.0,AirX,Moyenne,1
3.6,147.8,105.0,11.0,FlyY,Bonne,0
20.3,111.6,193.0,31.0,AirX,Mauvaise,1
18.3,136.9,144.0,34.0,FlyY,Bonne,1
9.0,94.7,134.0,15.0,SkyZ,Bonne,0
6.1,92.1,200.0,6.0,FlyY,Bonne,0
8.7,135.9,170.0,9.0,FlyY,Bonne,0
18.9,262.7,101.0,42.0,FlyY,Bonne,1
20.5,243.3,139.0,30.0,FlyY,Bonne,1
4.6,73.2,140.0,18.0,FlyY,Bonne,0
-15.0,74.2,100.0,8.0,SkyZ,Bonne,0
0.5,180.7,153.0,9.0,FlyY,Bonne,0
8.7,100.2,129.0,12.0,SkyZ,Bonne,0
1.7,141.7,154.0,36.0,SkyZ,Bonne,0
9.8,153.4,82.0,20.0,AirX,Bonne,0
16.1,206.4,186.0,36.0,AirX,Moyenne,1
8.7,153.6,99.0,20.0,AirX,Moyenne,0
1.0,92.5,155.0,14.0,AirX,Moyenne,0
10.0,142.9,86.0,17.0,AirX,Moyenne,0
6.5,94.5,92.0,7.0,FlyY,Bonne,0
11.9,112.2,95.0,14.0,AirX,Moyenne,0
6.2,136.2,122.0,5.0,FlyY,Bonne,0
7.8,71.7,94.0,0.0,SkyZ,Bonne,0
18.8,227.7,123.0,25.0,AirX,Moyenne,1
3.8,133.1,106.0,9.0,SkyZ,Bonne,0
2.8,132.8,64.0,11.0,AirX,Moyenne,0
13.7,115.2,100.0,20.0,AirX,Moyenne,0
9.5,131.3,120.0,24.0,FlyY,Moyenne,0
20.7,166.0,81.0,24.0,FlyY,Mauvaise,1
6.2,75.1,156.0,13.0,SkyZ,Bonne,0
13.4,152.2,93.0,14.0,FlyY,Bonne,0
19.3,209.6,200.0,8.0,SkyZ,Bonne,1
4.8,139.8,83.0,20.0,AirX,Bonne,0
20.5,180.9,197.0,15.0,AirX,Moyenne,1
0.0,152.8,71.0,19.0,FlyY,Moyenne,0
0.0,129.3,79.0,12.0,SkyZ,Moyenne,0
7.4,126.2,93.0,22.0,SkyZ,Bonne,0
4.9,104.3,92.0,22.0,FlyY,Bonne,0
9.6,140.5,113.0,7.0,FlyY,Bonne,0
10.7,117.3,110.0,20.0,FlyY,Bonne,0
6.9,76.3,102.0,4.0,FlyY,Moyenne,0
20.1,155.5,148.0,42.0,SkyZ,Bonne,1
6.8,99.1,86.0,12.0,SkyZ,Bonne,0
1.6,173.0,125.0,4.0,FlyY,Bonne,0
7.4,160.1,145.0,4.0,FlyY,Moyenne,0
14.9,171.9,149.0,37.0,FlyY,Moyenne,1
4.0,148.7,98.0,18.0,AirX,Bonne,0
22.5,195.3,137.0,25.0,SkyZ,Bonne,1
13.5,138.6,51.0,24.0,FlyY,Bonne,0
0.0,142.4,119.0,18.0,SkyZ,Bonne,0
5.5,162.2,79.0,4.0,FlyY,Moyenne,0
6.5,100.4,50.0,28.0,SkyZ,Moyenne,0
9.1,142.1,117.0,17.0,FlyY,Bonne,0
2.8,44.0,108.0,14.0,AirX,Bonne,0
9.9,112.4,135.0,12.0,SkyZ,Mauvaise,0
9.0,138.8,78.0,3.0,AirX,Bonne,0
16.0,155.2,180.0,30.0,FlyY,Moyenne,1
6.3,116.7,154.0,9.0,SkyZ,Bonne,0
7.8,133.8,154.0,10.0,SkyZ,Bonne,0
2.8,109.4,78.0,23.0,FlyY,Bonne,0
13.7,104.7,137.0,29.0,FlyY,Bonne,0
5.0,159.8,86.0,18.0,FlyY,Mauvaise,0
9.6,151.6,114.0,21.0,AirX,Bonne,0
2.8,119.2,96.0,21.0,FlyY,Bonne,0
9.8,106.6,125.0,12.0,FlyY,Bonne,0
5.6,108.8,86.0,0.0,FlyY,Bonne,0
7.8,128.9,77.0,22.0,FlyY,Bonne,0
11.7,98.3,96.0,0.0,FlyY,Bonne,0
22.6,189.0,168.0,27.0,AirX,Moyenne,1
8.6,111.7,118.0,19.0,FlyY,Bonne,0
17.7,199.4,139.0,46.0,AirX,Bonne,1
1.9,108.6,142.0,15.0,FlyY,Mauvaise,0
14.1,122.8,84.0,13.0,FlyY,Bonne,0
17.5,167.0,164.0,28.0,SkyZ,Mauvaise,1
0.0,118.5,77.0,20.0,FlyY,Bonne,0
3.8,131.0,93.0,22.0,AirX,Moyenne,0
8.2,111.1,71.0,26.0,AirX,Moyenne,0
20.4,157.6,51.0,44.0,FlyY,Moyenne,1
0.0,173.2,78.0,24.0,FlyY,Mauvaise,0
17.6,225.1,119.0,22.0,AirX,Bonne,1
17.9,164.4,158.0,32.0,AirX,Mauvaise,1
7.0,75.6,100.0,4.0,FlyY,Bonne,0
9.9,124.9,137.0,15.0,AirX,Bonne,0
4.4,204.7,75.0,15.0,SkyZ,Bonne,0
12.4,115.5,130.0,15.0,FlyY,Bonne,0
4.7,75.2,153.0,11.0,AirX,Bonne,0
6.3,84.6,116.0,24.0,AirX,Bonne,0
5.4,97.6,112.0,20.0,SkyZ,Bonne,0
17.3,99.2,169.0,54.0,FlyY,Moyenne,1
3.9,177.0,118.0,7.0,FlyY,Moyenne,0
8.6,130.9,125.0,13.0,SkyZ,Bonne,0
9.2,62.9,102.0,29.0,SkyZ,Bonne,0
4.6,110.4,50.0,4.0,SkyZ,Bonne,0
6.4,121.3,146.0,13.0,FlyY,Bonne,0
5.9,158.8,173.0,5.0,FlyY,Bonne,0
0.0,131.0,103.0,17.0,AirX,Bonne,0
3.1,51.9,109.0,8.0,FlyY,Bonne,0
19.7,166.7,132.0,39.0,FlyY,Mauvaise,1
9.1,102.4,109.0,9.0,FlyY,Bonne,0
7.8,71.3,172.0,14.0,SkyZ,Bonne,0
3.7,77.7,126.0,0.0,AirX,Bonne,0
8.8,182.9,111.0,20.0,FlyY,Bonne,0
14.8,110.1,64.0,30.0,AirX,Bonne,0
5.9,116.8,200.0,13.0,FlyY,Moyenne,0
4.4,131.4,136.0,30.0,AirX,Bonne,0
0.0,109.2,196.0,13.0,AirX,Bonne,0
22.3,142.2,159.0,31.0,AirX,Mauvaise,1
3.7,125.3,78.0,13.0,FlyY,Moyenne,0
8.1,100.5,107.0,30.0,FlyY,Moyenne,0
18.5,234.5,142.0,29.0,FlyY,Bonne,1
20.5,206.9,200.0,13.0,SkyZ,Moyenne,1
8.4,84.1,70.0,0.0,FlyY,Bonne,0
4.8,63.9,127.0,8.0,AirX,Bonne,0
1.5,66.1,50.0,11.0,SkyZ,Bonne,0
4.5,82.8,144.0,4.0,AirX,Bonne,0
4.4,99.1,95.0,12.0,SkyZ,Bonne,0
7.8,79.2,152.0,19.0,AirX,Bonne,0
15.5,192.9,66.0,44.0,SkyZ,Mauvaise,1
1.0,78.3,101.0,14.0,AirX,Mauvaise,0
6.1,141.5,73.0,3.0,SkyZ,Moyenne,0
11.0,150.7,99.0,0.0,FlyY,Bonne,0
6.4,151.8,88.0,12.0,SkyZ,Moyenne,0
0.0,96.5,168.0,16.0,AirX,Bonne,0
6.1,93.2,139.0,0.0,FlyY,Moyenne,0
2.6,124.9,83.0,14.0,SkyZ,Bonne,0
20.0,186.7,191.0,34.0,FlyY,Moyenne,1
3.8,115.3,99.0,38.0,FlyY,Bonne,0
11.9,72.6,152.0,33.0,FlyY,Moyenne,0
20.3,168.3,136.0,42.0,FlyY,Mauvaise,1
4.6,155.0,65.0,3.0,FlyY,Bonne,0
7.1,141.1,99.0,17.0,FlyY,Bonne,0
16.7,262.2,122.0,51.0,SkyZ,Mauvaise,1
1.5,138.1,139.0,9.0,AirX,Bonne,0
10.9,120.0,136.0,0.0,AirX,Moyenne,0
16.1,191.7,108.0,35.0,SkyZ,Bonne,1
